# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240108
# 종료일: 20240114
국가,조회수,세션수,사용자,새 사용자 수,참여 세션수,참여율,사용자당 참여 세션수,평균 참여 시간,이벤트 수,전환,총 수익
Yemen,1,1,1,1,0,0,0,9,4,0,0
Azerbaijan,1,1,0,0,1,1,0,0,3,0,0
Belarus,1,1,0,0,0,0,0,0,3,0,0
Costa Rica,1,1,0,0,0,0,0,0,3,0,0
Kazakhstan,2,2,0,0,0,0,0,0,6,0,0
New Zealand,0,1,0,0,0,0,0,0,2,0,0
Nicaragua,1,1,0,0,1,1,0,0,3,0,0
Saudi Arabia,7,7,0,0,3,0.42857142857142855,0,0,22,0,0
Senegal,2,2,0,0,0,0,0,0,6,0,0
Tanzania,3,4,0,0,2,0.5,0,0,10,0,0
