# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240701
# 종료일: 20240731
페이지 경로 및 화면 클래스,세션 새채널그룹,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/category/corporates/sk-on,Direct,34,38,31,1.096774193548387,17.70967741935484,128,0,0
/global/archives/11087,Organic Search,33,36,29,1.1379310344827587,34.13793103448276,156,0,0
/global/archives/3962,Organic Search,33,30,29,1.1379310344827587,44.62068965517241,153,0,0
/global/archives/category/people/inno-people,Organic Search,33,28,27,1.2222222222222223,17.85185185185185,127,0,0
/global/archives/category/corporates/sk-enmove,Organic Search,32,21,18,1.7777777777777777,44.27777777777778,123,0,0
/global/archives/15462,Organic Search,31,33,25,1.24,43.12,140,0,0
/global/archives/17356,Organic Search,31,29,27,1.1481481481481481,25.74074074074074,141,0,0
/global/archives/18388,Referral,31,36,24,1.2916666666666667,89.375,124,0,0
/global/archives/17623,Organic Search,30,32,26,1.1538461538461537,47.19230769230769,144,0,0
/global/archives/17817,Organic Search,30,27,19,1.5789473684210527,43.68421052631579,120,0,0
/global/archives/12106,Organic Search,29,30,25,1.16,57.16,132,0,0
/global/archives/16376,Organic Search,29,33,29,1,57.55172413793103,139,0,0
/global/archives/17990,Organic Search,28,28,19,1.4736842105263157,67.15789473684211,126,0,0
/global/archives/18332,Organic Search,28,27,11,2.5454545454545454,185.63636363636363,125,0,0
/global/archives/4612,Organic Search,28,25,15,1.8666666666666667,48.333333333333336,113,0,0
/global/archives/category/insight/trend_report,Organic Search,28,28,17,1.6470588235294117,18,110,0,0
/global/archives/category/press-room,Direct,28,25,23,1.2173913043478262,11.521739130434783,113,0,0
/global/archives/10985,Organic Search,27,19,18,1.5,70.33333333333333,121,0,0
/global/archives/14491,Direct,27,27,27,1,7.333333333333333,113,0,0
/global/archives/14766,Organic Search,27,32,23,1.173913043478261,24.17391304347826,120,0,0
/global/archives/16970,Organic Search,27,24,22,1.2272727272727273,48.90909090909091,106,0,0
/global/archives/9709,Organic Search,27,24,20,1.35,22.2,120,0,0
/global/archives/category/press-room/issue-fact,Organic Search,27,25,21,1.2857142857142858,10.904761904761905,105,0,0
/global/archives/14634,Organic Search,26,27,22,1.1818181818181819,66,114,0,0
/global/archives/17047,Organic Search,26,23,18,1.4444444444444444,43.55555555555556,116,0,0
/global/archives/18500,Direct,26,29,26,1,5.653846153846154,98,0,0
/global/archives/12008,Organic Search,25,24,18,1.3888888888888888,24.666666666666668,114,0,0
/global/archives/18065,Referral,25,15,13,1.9230769230769231,84.07692307692308,97,0,0
/global/archives/4751,Organic Search,25,22,16,1.5625,74.4375,107,0,0
/global/archives/category/corporates/sk-geo-centric,Organic Search,25,18,15,1.6666666666666667,36.06666666666667,96,0,0
/global/archives/10654,Organic Search,24,25,21,1.1428571428571428,90.71428571428571,102,0,0
/global/archives/10939,Organic Search,24,30,22,1.0909090909090908,22.5,107,0,0
/global/archives/17844,Organic Search,24,19,14,1.7142857142857142,16.214285714285715,101,0,0
/global/archives/17950,Organic Search,24,26,22,1.0909090909090908,29.818181818181817,108,0,0
/global/archives/7445,Organic Search,24,27,20,1.2,71.45,109,0,0
/global/archives/category/corporates/sk-earthon,Organic Search,24,15,11,2.1818181818181817,58.09090909090909,98,0,0
/global/archives/category/corporates/sk-ie-technology,Organic Search,24,18,15,1.6,18.133333333333333,90,0,0
/global/archives/category/corporates/sk-rading-international,Organic Search,24,20,19,1.263157894736842,13.68421052631579,94,0,0
/global/archives/17476,Organic Search,23,26,23,1,26.17391304347826,115,0,0
/global/archives/17737,Organic Search,23,20,20,1.15,126.75,105,0,0
/global/archives/18332,Direct,23,24,20,1.15,73.75,95,0,0
/global/archives/category/corporates/sk-energy,Referral,23,13,12,1.9166666666666667,62.916666666666664,92,0,0
/global/archives/18361,Referral,22,18,16,1.375,35,81,0,0
/global/archives/18421,Referral,22,20,14,1.5714285714285714,18.428571428571427,75,0,0
/global/archives/4921,Organic Search,22,21,20,1.1,36.35,102,0,0
/global/archives/category/corporate/sk-enmove,Referral,22,20,17,1.2941176470588236,19.705882352941178,109,0,0
/global/archives/tag/pouch-type-battery,Organic Search,22,17,16,1.375,12.1875,106,0,0
/global/archives/13130,Direct,21,16,13,1.6153846153846154,34.84615384615385,83,0,0
/global/archives/14226,Organic Search,21,22,18,1.1666666666666667,44.55555555555556,95,0,0
/global/archives/18436,Referral,21,18,17,1.2352941176470589,35.88235294117647,82,0,0
/global/archives/18445,Referral,21,21,19,1.105263157894737,135.26315789473685,85,0,0
/global/archives/category/corporate/sk-energy,Referral,21,16,15,1.4,14.066666666666666,85,0,0
/global/archives/11853,Organic Search,20,24,19,1.0526315789473684,55.26315789473684,94,0,0
/global/archives/17737,Direct,20,14,7,2.857142857142857,47.285714285714285,73,0,0
