# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240401
# 종료일: 20240430
페이지 경로 및 화면 클래스,세션 기본 채널 그룹,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/17965,Referral,20,19,16,1.25,35.4375,74,0,0
/global/archives/4499,Organic Search,20,20,18,1.1111111111111112,22.833333333333332,91,0,0
/global/archives/4612,Organic Search,20,21,15,1.3333333333333333,28.333333333333332,90,0,0
/global/archives/5892,Organic Search,20,20,16,1.25,75.6875,98,0,0
/global/archives/6216,Direct,20,20,17,1.1764705882352942,50.35294117647059,94,0,0
/global/archives/10939,Organic Search,19,19,17,1.1176470588235294,30.705882352941178,78,0,0
/global/archives/13329,Organic Search,19,21,13,1.4615384615384615,32.61538461538461,90,0,0
/global/archives/15353,Organic Search,19,19,18,1.0555555555555556,22.27777777777778,88,0,0
/global/archives/17216,Direct,19,19,18,1.0555555555555556,6,66,0,0
/global/archives/18022,Organic Search,19,17,11,1.7272727272727273,22.636363636363637,68,0,0
/global/archives/7445,Organic Search,19,21,17,1.1176470588235294,44.411764705882355,85,0,0
/global/archives/8327,Organic Search,19,17,16,1.1875,21.5,82,0,0
/global/archives/9668,Organic Search,19,18,13,1.4615384615384615,16.846153846153847,73,0,0
/global/archives/category/corporate/sk-energy,Referral,19,14,9,2.111111111111111,51.44444444444444,87,0,0
/global/archives/15937,Organic Search,18,20,16,1.125,17.1875,83,0,0
/global/archives/16131,Paid Search,18,17,4,4.5,0,51,0,0
/global/archives/9668,Direct,18,21,17,1.0588235294117647,3.3529411764705883,77,0,0
/global/archives/category/corporates/sk-earthon,Organic Search,18,16,13,1.3846153846153846,15.692307692307692,76,0,0
/global/archives/category/corporates/sk-geo-centric,Organic Search,18,14,13,1.3846153846153846,24.692307692307693,67,0,0
/global/sustainability-report,Direct,18,19,18,1,11.11111111111111,79,0,0
/global/,Paid Search,17,10,8,2.125,20.25,60,0,0
/global/archives/11087,Direct,17,11,10,1.7,28.2,62,0,0
/global/archives/16154,Paid Search,17,15,6,2.8333333333333335,3.5,51,0,0
/global/archives/3962,Organic Search,17,21,16,1.0625,17.625,83,0,0
/global/archives/category/insight,Direct,17,17,15,1.1333333333333333,23.8,70,0,0
/global/archives/10654,Organic Search,16,14,12,1.3333333333333333,17.166666666666668,66,0,0
/global/archives/12950,Organic Search,16,17,15,1.0666666666666667,34.733333333333334,75,0,0
/global/archives/14354,Organic Search,16,16,13,1.2307692307692308,185,77,0,0
/global/archives/15204,Organic Search,16,16,14,1.1428571428571428,39.642857142857146,71,0,0
/global/archives/15840,Organic Search,16,17,15,1.0666666666666667,14.466666666666667,75,0,0
/global/archives/16286,Direct,16,16,16,1,0,63,0,0
/global/archives/17844,Referral,16,18,16,1,32.375,63,0,0
/global/archives/6807,Organic Search,16,16,12,1.3333333333333333,40.083333333333336,72,0,0
/global/archives/7245,Organic Search,16,16,13,1.2307692307692308,42.92307692307692,65,0,0
/global/archives/8400,Organic Search,16,16,13,1.2307692307692308,23.76923076923077,72,0,0
/global/archives/11853,Organic Search,15,18,13,1.1538461538461537,33.23076923076923,67,0,0
/global/archives/12190,Organic Search,15,14,14,1.0714285714285714,53.214285714285715,63,0,0
/global/archives/13932,Organic Search,15,16,7,2.142857142857143,35.285714285714285,64,0,0
/global/archives/15574,Organic Search,15,18,14,1.0714285714285714,40.642857142857146,65,0,0
/global/archives/15610,Organic Search,15,14,10,1.5,23.5,73,0,0
/global/archives/17796,Direct,15,17,16,0.9375,20.375,57,0,0
/global/archives/18022,Referral,15,13,8,1.875,9.375,55,0,0
/global/archives/3674,Organic Search,15,11,10,1.5,66.5,66,0,0
/global/archives/489,Organic Search,15,10,9,1.6666666666666667,148.66666666666666,66,0,0
/global/archives/7961,Organic Search,15,14,12,1.25,58,72,0,0
/global/archives/category/corporates/sk-innovation,Referral,15,12,12,1.25,13.5,52,0,0
/global/archives/category/people,Referral,15,12,11,1.3636363636363635,64.36363636363636,55,0,0
/global/archives/tag/pouch-type-battery,Organic Search,15,13,12,1.25,14.583333333333334,74,0,0
/global/archives/10535,Organic Search,14,17,13,1.0769230769230769,21.76923076923077,73,0,0
/global/archives/1058,Organic Search,14,13,10,1.4,22.5,66,0,0
/global/archives/14193,Organic Search,14,11,10,1.4,77,60,0,0
/global/archives/15374,Referral,14,13,13,1.0769230769230769,77,61,0,0
/global/archives/15687,Referral,14,14,12,1.1666666666666667,83.16666666666667,68,0,0
/global/archives/16131,Direct,14,17,11,1.2727272727272727,16.363636363636363,61,0,0
/global/archives/16131,Organic Search,14,8,4,3.5,49,54,0,0
/global/archives/16154,Organic Search,14,16,12,1.1666666666666667,58.916666666666664,64,0,0
/global/archives/17386,Organic Search,14,14,14,1,68.71428571428571,64,0,0
/global/archives/17569,Direct,14,16,13,1.0769230769230769,67.3076923076923,62,0,0
/global/archives/17978,Referral,14,13,8,1.75,50.625,53,0,0
/global/archives/5944,Organic Search,14,19,13,1.0769230769230769,22.23076923076923,73,0,0
/global/archives/7476,Organic Search,14,10,9,1.5555555555555556,129.88888888888889,60,0,0
/global/archives/category/corporates/sk-incheon-petrochem,Organic Search,14,10,9,1.5555555555555556,16.11111111111111,50,0,0
/global/archives/tag/2024-q1,Organic Search,14,5,5,2.8,18.2,55,0,0
/global/archives/tag/ecopro-bm,Organic Search,14,12,9,1.5555555555555556,7,65,0,0
/global/archives/tag/green-bonds,Organic Search,14,12,11,1.2727272727272727,11.454545454545455,66,0,0
/global/archives/tag/sk-battery-america,Organic Search,14,9,9,1.5555555555555556,89.44444444444444,64,0,0
/global/who-we-are,Organic Search,14,12,8,1.75,19.625,65,0,0
/global/archives/10835,Organic Search,13,12,11,1.1818181818181819,31.363636363636363,52,0,0
/global/archives/12147,Organic Search,13,13,12,1.0833333333333333,92.41666666666667,57,0,0
/global/archives/12688,Organic Search,13,9,8,1.625,38.75,52,0,0
/global/archives/14628,Direct,13,8,8,1.625,2.5,47,0,0
/global/archives/15687,Direct,13,14,10,1.3,18.3,53,0,0
/global/archives/15865,Organic Search,13,12,10,1.3,40.9,50,0,0
/global/archives/16060,Direct,13,12,11,1.1818181818181819,52.27272727272727,53,0,0
/global/archives/16060,Referral,13,12,11,1.1818181818181819,12.636363636363637,52,0,0
/global/archives/16376,Paid Search,13,12,4,3.25,0,37,0,0
/global/archives/16480,Paid Search,13,13,1,13,0,40,0,0
/global/archives/16613,Direct,13,11,11,1.1818181818181819,2.090909090909091,47,0,0
/global/archives/17514,Organic Search,13,13,13,1,23.76923076923077,59,0,0
/global/archives/17796,Organic Search,13,15,13,1,78.76923076923077,52,0,0
/global/archives/17893,Organic Search,13,15,8,1.625,29.125,48,0,0
/global/archives/17978,Organic Social,13,12,12,1.0833333333333333,9.75,60,0,0
/global/archives/17989,Referral,13,13,12,1.0833333333333333,30.666666666666668,47,0,0
/global/archives/4308,Organic Search,13,13,13,1,80.38461538461539,63,0,0
/global/archives/4751,Organic Search,13,14,12,1.0833333333333333,35.666666666666664,59,0,0
/global/archives/7319,Organic Search,13,11,11,1.1818181818181819,18.545454545454547,59,0,0
/global/archives/733,Organic Search,13,14,11,1.1818181818181819,31.09090909090909,66,0,0
/global/archives/7596,Organic Search,13,17,13,1,26.53846153846154,66,0,0
/global/archives/9740,Organic Search,13,13,12,1.0833333333333333,39.333333333333336,55,0,0
/global/archives/category/corporates/sk-enmove,Organic Search,13,12,11,1.1818181818181819,16.09090909090909,46,0,0
/global/archives/tag/skei-singapore,Organic Search,13,9,8,1.625,10.75,56,0,0
/global/privacy-policy,Direct,13,15,9,1.4444444444444444,53.77777777777778,52,0,0
/global/archives/11161,Organic Search,12,15,11,1.0909090909090908,24.90909090909091,55,0,0
/global/archives/14766,Paid Search,12,9,4,3,7.75,37,0,0
/global/archives/16169,Organic Search,12,13,11,1.0909090909090908,39,54,0,0
/global/archives/16925,Organic Search,12,14,11,1.0909090909090908,35.81818181818182,48,0,0
/global/archives/16970,Referral,12,13,11,1.0909090909090908,142,58,0,0
/global/archives/17356,Direct,12,14,11,1.0909090909090908,25.90909090909091,53,0,0
/global/archives/17446,Organic Search,12,13,10,1.2,13.7,50,0,0
/global/archives/9548,Direct,12,11,10,1.2,17.4,53,0,0
/global/archives/category/corporate/sk-on,Referral,12,12,2,6,45.5,43,0,0
/global/archives/category/corporates/sk-enmove,Referral,12,7,4,3,93.25,45,0,0
/global/archives/category/corporates/sk-incheon-petrochem,Referral,12,8,5,2.4,38.4,46,0,0
/global/archives/10872,Organic Search,11,14,9,1.2222222222222223,60.77777777777778,53,0,0
/global/archives/11992,Organic Search,11,13,9,1.2222222222222223,28.444444444444443,52,0,0
/global/archives/12008,Organic Search,11,11,9,1.2222222222222223,7.333333333333333,47,0,0
/global/archives/12667,Organic Search,11,11,9,1.2222222222222223,47.666666666666664,50,0,0
/global/archives/13313,Organic Search,11,11,10,1.1,21.3,48,0,0
/global/archives/14078,Organic Search,11,11,11,1,28.636363636363637,51,0,0
/global/archives/14179,Organic Search,11,13,8,1.375,19.625,45,0,0
/global/archives/14226,Organic Search,11,11,11,1,18.636363636363637,53,0,0
/global/archives/14309,Referral,11,16,3,3.6666666666666665,445.6666666666667,47,0,0
/global/archives/15490,Direct,11,11,9,1.2222222222222223,11.333333333333334,43,0,0
/global/archives/15689,Organic Search,11,10,9,1.2222222222222223,32.666666666666664,44,0,0
/global/archives/15985,Organic Search,11,10,10,1.1,20.4,45,0,0
/global/archives/16169,Referral,11,9,2,5.5,24,41,0,0
/global/archives/16787,Organic Search,11,12,11,1,47.18181818181818,60,0,0
/global/archives/17499,Direct,11,11,9,1.2222222222222223,4.222222222222222,42,0,0
/global/archives/2293,Organic Search,11,13,10,1.1,33.9,52,0,0
/global/archives/8105,Organic Search,11,11,11,1,42,52,0,0
/global/archives/9493,Organic Search,11,11,7,1.5714285714285714,17.428571428571427,47,0,0
/global/archives/category/people,Direct,11,11,8,1.375,10.25,40,0,0
/global/archives/tag/ncm9,Organic Search,11,8,7,1.5714285714285714,37.142857142857146,42,0,0
/global/archives/tag/poe,Organic Search,11,8,8,1.375,6.875,54,0,0
/global/archives/tag/sk-primacor-europe,Organic Search,11,11,10,1.1,9.3,55,0,0
/global/archives/tag/skba,Organic Search,11,10,9,1.2222222222222223,27.333333333333332,53,0,0
/global/archives/tag/skeo,Organic Search,11,15,10,1.1,18.2,56,0,0
/global/archives/11087,Referral,10,11,10,1,39.8,50,0,0
/global/archives/11527,Organic Search,10,8,7,1.4285714285714286,16.857142857142858,40,0,0
/global/archives/12036,Organic Search,10,11,9,1.1111111111111112,20.444444444444443,48,0,0
