# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240715
# 종료일: 20240721
페이지 경로 및 화면 클래스,기기 카테고리,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/category/people/sustainability,desktop,28,17,13,2.1538461538461537,22.153846153846153,108,0,0
/global/archives/16448,desktop,25,28,20,1.25,18.45,99,0,0
/global/archives/18283,desktop,25,26,20,1.25,68.8,102,0,0
/global/archives/16834,desktop,24,25,16,1.5,42.1875,99,0,0
/global/archives/6216,desktop,24,26,20,1.2,45.55,121,0,0
/global/archives/18140,mobile,23,22,7,3.2857142857142856,0.8571428571428571,71,0,0
/global/archives/18361,desktop,23,23,21,1.0952380952380953,29.428571428571427,89,0,0
/global/archives/15374,desktop,22,22,18,1.2222222222222223,21,102,0,0
/global/archives/category/corporates/sk-on,mobile,22,19,11,2,30.545454545454547,81,0,0
/global/archives/15664,desktop,21,25,21,1,38.333333333333336,98,0,0
/global/archives/13130,desktop,19,12,9,2.111111111111111,74.55555555555556,72,0,0
/global/archives/17595,desktop,19,21,15,1.2666666666666666,19.133333333333333,73,0,0
/global/archives/9910,desktop,19,18,15,1.2666666666666666,53.46666666666667,86,0,0
/global/archives/15462,desktop,18,16,14,1.2857142857142858,55.357142857142854,80,0,0
/global/archives/18436,desktop,18,18,14,1.2857142857142858,11.642857142857142,71,0,0
/global/archives/12306,desktop,17,18,15,1.1333333333333333,21.533333333333335,77,0,0
/global/archives/16463,desktop,17,16,14,1.2142857142857142,20.785714285714285,73,0,0
/global/archives/16532,desktop,16,18,10,1.6,34.5,65,0,0
/global/archives/3820,desktop,16,14,11,1.4545454545454546,25.454545454545453,68,0,0
/global/archives/category/people,desktop,16,15,15,1.0666666666666667,10.733333333333333,60,0,0
/global/archives/16060,desktop,15,11,8,1.875,46,64,0,0
/global/archives/category/corporates/sk-energy,desktop,14,13,11,1.2727272727272727,13.272727272727273,55,0,0
/global/archives/category/corporates/sk-enmove,desktop,14,8,8,1.75,56.125,49,0,0
/global/archives/18500,mobile,13,12,11,1.1818181818181819,9.454545454545455,45,0,0
/global/archives/category/corporates/sk-rading-international,desktop,13,9,9,1.4444444444444444,13.222222222222221,52,0,0
/global/archives/category/insight,desktop,13,12,12,1.0833333333333333,18,56,0,0
/global/archives/category/insight/trend_report,desktop,13,14,8,1.625,19.5,51,0,0
/global/archives/category/press-room/press-release,mobile,13,12,11,1.1818181818181819,4.7272727272727275,52,0,0
/global/archives/15490,desktop,12,13,11,1.0909090909090908,15.363636363636363,55,0,0
/global/archives/9910,mobile,12,12,11,1.0909090909090908,47.81818181818182,55,0,0
/global/archives/category/corporates/sk-enterm,mobile,12,9,6,2,7.666666666666667,50,0,0
/global/archives/10774,desktop,11,10,9,1.2222222222222223,52.55555555555556,52,0,0
/global/archives/12022,desktop,11,12,11,1,31.09090909090909,53,0,0
/global/archives/13595,desktop,11,9,8,1.375,125.125,50,0,0
/global/archives/14491,desktop,11,9,9,1.2222222222222223,37.888888888888886,49,0,0
/global/archives/17499,mobile,11,9,6,1.8333333333333333,31,42,0,0
/global/archives/17990,desktop,11,11,9,1.2222222222222223,27.555555555555557,48,0,0
/global/archives/category/corporates/sk-earthon,desktop,11,9,8,1.375,27.125,43,0,0
/global/archives/category/corporates/sk-incheon-petrochem,desktop,11,7,5,2.2,33,41,0,0
/global/archives/category/people/ceo-leaders,desktop,11,8,4,2.75,56.25,47,0,0
/global/archives/category/people/inno-people,desktop,11,9,9,1.2222222222222223,29,42,0,0
/global/archives/category/press-room/issue-fact,desktop,11,10,9,1.2222222222222223,8.777777777777779,39,0,0
