# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240115
# 종료일: 20240121
국가,조회수,세션수,사용자,새 사용자 수,참여 세션수,참여율,사용자당 참여 세션수,평균 참여 시간,이벤트 수,전환,총 수익
Myanmar (Burma),2,3,3,2,2,0.6666666666666666,0.6666666666666666,237.33333333333334,12,0,0
Nepal,4,3,3,2,0,0,0,39.666666666666664,17,0,0
Saudi Arabia,5,5,3,3,3,0.6,1,247.66666666666666,21,0,0
Ukraine,10,3,3,3,2,0.6666666666666666,0.6666666666666666,92,40,0,0
Bangladesh,3,3,2,2,0,0,0,9.5,10,0,0
Ghana,6,5,2,2,0,0,0,4,20,0,0
Greece,22,3,2,2,1,0.3333333333333333,0.5,174,86,0,0
Iran,4,2,2,2,2,1,1,30.5,20,0,0
Iraq,2,2,2,1,1,0.5,0.5,0,7,0,0
Israel,7,3,2,2,1,0.3333333333333333,0.5,30,28,0,0
New Zealand,2,2,2,2,2,1,1,91.5,11,0,0
Norway,21,2,2,2,2,1,1,184.5,83,0,0
Slovakia,2,2,2,2,0,0,0,0,7,0,0
Argentina,1,1,1,1,0,0,0,0,4,0,0
Aruba,1,1,1,1,1,1,1,31,5,0,0
Bolivia,1,1,1,1,0,0,0,0,4,0,0
Cambodia,1,1,1,1,1,1,1,0,4,0,0
Chile,7,2,1,1,1,0.5,1,181,29,0,0
Colombia,1,1,1,1,0,0,0,0,4,0,0
Costa Rica,2,1,1,1,1,1,1,140,9,0,0
Czechia,2,2,1,1,2,1,2,65,8,0,0
Fiji,1,2,1,1,0,0,0,0,6,0,0
Georgia,2,2,1,1,0,0,0,0,7,0,0
Jamaica,2,2,1,1,1,0.5,1,0,8,0,0
Kuwait,1,1,1,1,1,1,1,36,6,0,0
Lebanon,2,2,1,1,2,1,2,0,7,0,0
Marshall Islands,1,1,1,1,0,0,0,0,4,0,0
Mongolia,1,1,1,1,1,1,1,20,6,0,0
North Macedonia,1,1,1,1,0,0,0,0,4,0,0
Palestine,1,1,1,1,1,1,1,13,6,0,0
Peru,1,1,1,1,1,1,1,15,5,0,0
Qatar,1,1,1,1,0,0,0,0,3,0,0
Romania,1,1,1,1,0,0,0,0,4,0,0
Serbia,3,1,1,1,1,1,1,129,12,0,0
Slovenia,1,1,1,1,1,1,1,46,5,0,0
South Africa,1,1,1,1,0,0,0,0,4,0,0
Syria,2,1,1,1,1,1,1,199,12,0,0
Togo,1,1,1,1,1,1,1,20,6,0,0
Trinidad & Tobago,2,1,1,1,1,1,1,117,9,0,0
United Arab Emirates,7,1,1,1,1,1,1,76,25,0,0
Uruguay,1,1,1,0,1,1,1,19,4,0,0
Uzbekistan,1,1,1,1,1,1,1,50,5,0,0
Venezuela,5,5,1,1,5,1,5,18,18,0,0
Bahrain,1,1,0,0,0,0,0,0,3,0,0
Cyprus,1,1,0,0,1,1,0,0,3,0,0
Dominican Republic,1,1,0,0,0,0,0,0,2,0,0
Egypt,3,3,0,0,0,0,0,0,8,0,0
Montenegro,1,1,0,0,0,0,0,0,3,0,0
Nicaragua,1,1,0,0,0,0,0,0,3,0,0
Nigeria,1,1,0,0,0,0,0,0,3,0,0
Oman,1,1,0,0,0,0,0,0,3,0,0
Sri Lanka,1,1,0,0,0,0,0,0,3,0,0
Tanzania,3,3,0,0,0,0,0,0,7,0,0
Uganda,1,1,0,1,0,0,0,0,5,0,0
