# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241001
# 종료일: 20241031
페이지 경로 및 화면 클래스,세션 새채널그룹,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/global/archives/category/corporate/sk-enmove,Referral,32,31,24,1.3333333333333333,14.166666666666666,139,0,0
/global/archives/category/press-room/financial-results,Direct,32,27,13,2.4615384615384617,24.076923076923077,119,0,0
/global/archives/10939,Organic Search,31,34,26,1.1923076923076923,44.92307692307692,136,0,0
/global/archives/14766,Organic Search,31,32,24,1.2916666666666667,37.458333333333336,131,0,0
/global/archives/15490,Direct,31,28,25,1.24,24.76,127,0,0
/global/archives/17356,Direct,31,31,29,1.0689655172413792,14.827586206896552,124,0,0
/global/archives/17426,Referral,31,27,13,2.3846153846153846,148.07692307692307,125,0,0
/global/archives/18022,Organic Search,31,28,23,1.3478260869565217,36.608695652173914,138,0,0
/global/archives/18065,Organic Search,31,26,19,1.631578947368421,45.421052631578945,119,0,0
/global/archives/18301,Organic Search,31,31,31,1,39.45161290322581,143,0,0
/global/archives/category/corporates,Referral,31,19,15,2.066666666666667,27.933333333333334,121,0,0
/global/archives/category/corporates/sk-ie-technology,Organic Search,31,22,19,1.631578947368421,25.842105263157894,129,0,0
/global/archives/category/people,Organic Search,31,24,19,1.631578947368421,21.157894736842106,119,0,0
/global/archives/tag/sko,Organic Search,31,29,25,1.24,12.44,154,0,0
/global/archives/12106,Organic Search,30,35,19,1.5789473684210527,28.68421052631579,133,0,0
/global/archives/19230,Direct,30,26,23,1.3043478260869565,14.173913043478262,113,0,0
/global/archives/19230,Organic Search,30,26,20,1.5,22.3,130,0,0
/global/archives/12274/skee,Organic Search,29,25,25,1.16,6.44,141,0,0
/global/archives/13130,Direct,29,30,28,1.0357142857142858,8.678571428571429,141,0,0
/global/archives/17426,Direct,29,30,24,1.2083333333333333,18.125,121,0,0
/global/archives/17476,Organic Search,29,32,28,1.0357142857142858,41.75,142,0,0
/global/archives/19045,Paid Search,29,28,12,2.4166666666666665,0.08333333333333333,97,0,0
/global/archives/category/people,Direct,29,37,34,0.8529411764705882,11.823529411764707,123,0,0
/global/archives/16448,Organic Search,28,26,20,1.4,30.8,120,0,0
/global/archives/16493,Organic Search,28,32,28,1,46.92857142857143,134,0,0
/global/archives/17569,Organic Search,28,34,25,1.12,56.08,126,0,0
/global/archives/13521,Organic Search,27,28,22,1.2272727272727273,7.863636363636363,133,0,0
/global/archives/17990,Organic Search,27,25,23,1.173913043478261,17.91304347826087,124,0,0
/global/archives/category/corporates/sk-on,Referral,27,18,14,1.9285714285714286,46.642857142857146,100,0,0
/global/archives/19014,Direct,26,28,22,1.1818181818181819,98.54545454545455,105,0,0
/global/archives/category/corporates/sk-innovation,Referral,26,22,17,1.5294117647058822,15.705882352941176,107,0,0
/global/archives/category/insight,Direct,26,29,28,0.9285714285714286,19.428571428571427,108,0,0
/global/archives/12306,Organic Search,25,28,21,1.1904761904761905,29.476190476190474,115,0,0
/global/archives/18361,Organic Search,25,23,19,1.3157894736842106,30.105263157894736,103,0,0
/global/archives/category/corporates/sk-enmove,Direct,25,15,11,2.272727272727273,45,97,0,0
/global/archives/category/corporates/sk-innovation,Direct,25,20,19,1.3157894736842106,18.42105263157895,90,0,0
/global/archives/category/people/inno-people,Organic Search,25,23,19,1.3157894736842106,13.947368421052632,96,0,0
/global/archives/10985,Organic Search,24,19,17,1.411764705882353,32.88235294117647,101,0,0
/global/archives/17047,Organic Search,24,22,16,1.5,73.5,110,0,0
/global/archives/17356,Referral,24,26,14,1.7142857142857142,40.92857142857143,96,0,0
/global/archives/18332,Organic Search,24,28,18,1.3333333333333333,34.611111111111114,118,0,0
/global/archives/18659,Organic Search,24,31,22,1.0909090909090908,37.63636363636363,118,0,0
/global/archives/7445,Organic Search,24,25,22,1.0909090909090908,27.454545454545453,113,0,0
/global/archives/category/corporate/sk-energy,Referral,24,19,17,1.411764705882353,27.294117647058822,109,0,0
/global/archives/category/corporates,Direct,24,15,14,1.7142857142857142,22.428571428571427,90,0,0
/global/archives/category/insight/trend_report,Organic Search,24,21,15,1.6,15.266666666666667,93,0,0
/global/archives/11161,Organic Search,23,19,14,1.6428571428571428,101,101,0,0
/global/archives/17460,Organic Search,23,24,22,1.0454545454545454,23.772727272727273,110,0,0
/global/archives/18608,Direct,23,22,20,1.15,9.15,94,0,0
/global/archives/19202,Direct,23,20,19,1.2105263157894737,20.05263157894737,90,0,0
/global/archives/11004,Organic Search,22,19,12,1.8333333333333333,57.166666666666664,92,0,0
/global/archives/11807,Organic Search,22,23,15,1.4666666666666666,30.8,98,0,0
/global/archives/14634,Organic Search,22,22,17,1.2941176470588236,69.05882352941177,104,0,0
/global/archives/15374,Referral,22,26,17,1.2941176470588236,24.941176470588236,94,0,0
/global/archives/18445,Direct,22,22,14,1.5714285714285714,100.57142857142857,98,0,0
/global/archives/18989,Organic Search,22,25,19,1.1578947368421053,36.1578947368421,97,0,0
/global/archives/489,Organic Search,22,24,19,1.1578947368421053,36.89473684210526,105,0,0
/global/archives/category/corporates/sk-enterm,Organic Search,22,16,14,1.5714285714285714,15.071428571428571,88,0,0
/global/archives/tag/northvolt,Organic Search,22,17,17,1.2941176470588236,8.117647058823529,106,0,0
/global/archives/tag/pouch-type-battery,Organic Search,22,20,19,1.1578947368421053,9.31578947368421,104,0,0
/global/archives/15462,Organic Search,21,20,17,1.2352941176470589,35.705882352941174,90,0,0
/global/archives/16376,Paid Search,21,19,1,21,0,60,0,0
/global/archives/17623,Direct,21,14,13,1.6153846153846154,37.92307692307692,74,0,0
/global/archives/17817,Organic Search,21,20,19,1.105263157894737,23.63157894736842,97,0,0
/global/archives/18546,Referral,21,25,17,1.2352941176470589,20.58823529411765,94,0,0
/global/archives/19179,Organic Social,21,23,19,1.105263157894737,20.263157894736842,85,0,0
/global/archives/19230,Referral,21,16,14,1.5,11.642857142857142,70,0,0
/global/archives/19349,Direct,21,20,19,1.105263157894737,9.052631578947368,84,0,0
